Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2024-09-30T04:00:00.000000+0000,164.209,166.78,164.069,166.61,14070100.0,164.717,163.262,162.425,2.711,3.129,1.993,1.437,-2.402,-1.375,1.196,-0.02,13604300.0,18234500.0,13607900.0,163.826,163.04,161.667,0.011429327435868789,1
2024-10-01T04:00:00.000000+0000,168.274,169.849,165.325,167.836,18629500.0,166.61,164.717,163.262,4.524,2.711,3.129,1.993,0.438,-2.402,-1.375,1.196,14070100.0,13604300.0,18234500.0,165.218,164.086,162.454,0.007329992223757724,1
2024-10-02T04:00:00.000000+0000,167.178,168.294,165.673,166.73,12745000.0,167.836,166.61,164.717,2.621,4.524,2.711,3.129,0.448,0.438,-2.402,-1.375,18629500.0,14070100.0,13604300.0,166.527,165.184,163.31,-0.006612507854017427,0
2024-10-03T04:00:00.000000+0000,165.245,167.328,164.797,166.63,11004300.0,166.73,167.836,166.61,2.531,2.621,4.524,2.711,-1.385,0.448,0.438,-2.402,12745000.0,18629500.0,14070100.0,166.628,165.637,163.854,-0.0005977915762161753,0
2024-10-04T04:00:00.000000+0000,168.753,168.962,166.381,167.975,11422100.0,166.63,166.73,167.836,2.581,2.531,2.621,4.524,0.777,-1.385,0.448,0.438,11004300.0,12745000.0,18629500.0,166.629,165.928,164.296,0.008041189011940373,1
2024-10-07T04:00:00.000000+0000,168.553,169.311,163.561,163.82,14034700.0,167.975,166.63,166.73,5.75,2.581,2.531,2.621,4.734,0.777,-1.385,0.448,11422100.0,11004300.0,12745000.0,167.302,166.528,164.881,-0.02505016808877045,0
2024-10-08T04:00:00.000000+0000,164.856,165.524,163.74,165.125,11723900.0,163.82,167.975,166.63,1.784,5.75,2.581,2.531,-0.269,4.734,0.777,-1.385,14034700.0,11422100.0,11004300.0,165.561,165.735,164.712,0.007937229949244666,1
2024-10-09T04:00:00.000000+0000,164.283,165.683,160.561,162.495,19666400.0,165.125,163.82,167.975,5.122,1.784,5.75,2.581,1.789,-0.269,4.734,0.777,11723900.0,14034700.0,11422100.0,165.343,165.556,164.778,-0.016060594205328422,0
2024-10-10T04:00:00.000000+0000,161.548,163.741,161.079,162.614,12900500.0,162.495,165.125,163.82,2.662,5.122,1.784,5.75,-1.066,1.789,-0.269,4.734,19666400.0,11723900.0,14034700.0,163.919,164.659,164.415,0.0007355563624075161,1
2024-10-11T04:00:00.000000+0000,162.764,164.697,161.936,163.949,10946000.0,162.614,162.495,165.125,2.76,2.662,5.122,1.784,-1.186,-1.066,1.789,-0.269,12900500.0,19666400.0,11723900.0,163.267,164.06,164.128,0.00817837818496997,1
2024-10-14T04:00:00.000000+0000,164.338,167.039,164.209,165.773,9981800.0,163.949,162.614,162.495,2.83,2.76,2.662,5.122,-1.435,-1.186,-1.066,1.789,10946000.0,12900500.0,19666400.0,163.608,164.028,164.1,0.011061859538659404,1
2024-10-15T04:00:00.000000+0000,166.56,168.504,165.474,166.321,14829300.0,165.773,163.949,162.614,3.029,2.83,2.76,2.662,0.239,-1.435,-1.186,-1.066,9981800.0,10946000.0,12900500.0,164.691,164.539,164.366,0.0033007541361631584,1
2024-10-16T04:00:00.000000+0000,165.454,166.7,164.643,166.162,9968500.0,166.321,165.773,163.949,2.057,3.029,2.83,2.76,-0.708,0.239,-1.435,-1.186,14829300.0,9981800.0,10946000.0,165.506,165.061,164.677,-0.0009589893311268003,0
2024-10-17T04:00:00.000000+0000,166.8,167.348,163.8,163.94,15113400.0,166.162,166.321,165.773,3.548,2.057,3.029,2.83,2.86,-0.708,0.239,-1.435,9968500.0,14829300.0,9981800.0,165.834,165.383,164.913,-0.013464494014954158,0
2024-10-18T04:00:00.000000+0000,164.298,165.793,164.179,164.478,13091300.0,163.94,166.162,166.321,1.614,3.548,2.057,3.029,-0.179,2.86,-0.708,0.239,15113400.0,9968500.0,14829300.0,164.887,164.961,164.758,0.00327712592983253,1
2024-10-21T04:00:00.000000+0000,164.009,165.644,163.735,165.225,11384000.0,164.478,163.94,166.162,1.908,1.614,3.548,2.057,-1.216,-0.179,2.86,-0.708,13091300.0,15113400.0,9968500.0,164.682,164.819,164.714,0.004533918075327274,1
2024-10-22T04:00:00.000000+0000,164.129,166.889,164.099,166.242,11958600.0,165.225,164.478,163.94,2.79,1.908,1.614,3.548,-2.113,-1.216,-0.179,2.86,11384000.0,13091300.0,15113400.0,164.954,164.938,164.795,0.006133059632920368,1
